TEAM_NAME,FG2A,SEASON
Atlanta Hawks,64.39999999999999,2003-04
Boston Celtics,58.7,2003-04
Chicago Bulls,67.10000000000001,2003-04
Cleveland Cavaliers,72.80000000000001,2003-04
Dallas Mavericks,70.4,2003-04
Denver Nuggets,70.5,2003-04
Detroit Pistons,65.2,2003-04
Golden State Warriors,63.800000000000004,2003-04
Houston Rockets,58.4,2003-04
Indiana Pacers,61.49999999999999,2003-04
Los Angeles Clippers,67.7,2003-04
Los Angeles Lakers,67.80000000000001,2003-04
Memphis Grizzlies,65.2,2003-04
Miami Heat,61.8,2003-04
Milwaukee Bucks,67.1,2003-04
Minnesota Timberwolves,69.19999999999999,2003-04
New Jersey Nets,64.0,2003-04
New Orleans Hornets,60.2,2003-04
New York Knicks,65.80000000000001,2003-04
Orlando Magic,67.3,2003-04
Philadelphia 76ers,64.2,2003-04
Phoenix Suns,66.7,2003-04
Portland Trail Blazers,65.5,2003-04
Sacramento Kings,63.5,2003-04
San Antonio Spurs,64.6,2003-04
Seattle SuperSonics,56.800000000000004,2003-04
Toronto Raptors,61.60000000000001,2003-04
Utah Jazz,65.7,2003-04
Washington Wizards,64.5,2003-04
Atlanta Hawks,69.5,2004-05
Boston Celtics,64.10000000000001,2004-05
Charlotte Bobcats,72.89999999999999,2004-05
Chicago Bulls,62.900000000000006,2004-05
Cleveland Cavaliers,70.5,2004-05
Dallas Mavericks,66.1,2004-05
Denver Nuggets,69.2,2004-05
Detroit Pistons,65.5,2004-05
Golden State Warriors,64.19999999999999,2004-05
Houston Rockets,59.8,2004-05
Indiana Pacers,56.0,2004-05
Los Angeles Clippers,69.5,2004-05
Los Angeles Lakers,58.699999999999996,2004-05
Memphis Grizzlies,58.4,2004-05
Miami Heat,62.300000000000004,2004-05
Milwaukee Bucks,68.9,2004-05
Minnesota Timberwolves,66.8,2004-05
New Jersey Nets,63.599999999999994,2004-05
New Orleans Hornets,64.0,2004-05
New York Knicks,65.4,2004-05
Orlando Magic,70.3,2004-05
Philadelphia 76ers,64.39999999999999,2004-05
Phoenix Suns,60.89999999999999,2004-05
Portland Trail Blazers,64.1,2004-05
Sacramento Kings,68.1,2004-05
San Antonio Spurs,61.7,2004-05
Seattle SuperSonics,57.0,2004-05
Toronto Raptors,60.7,2004-05
Utah Jazz,67.5,2004-05
Washington Wizards,64.60000000000001,2004-05
Atlanta Hawks,65.10000000000001,2005-06
Boston Celtics,61.39999999999999,2005-06
Charlotte Bobcats,68.1,2005-06
Chicago Bulls,64.2,2005-06
Cleveland Cavaliers,60.300000000000004,2005-06
Dallas Mavericks,64.10000000000001,2005-06
Denver Nuggets,68.30000000000001,2005-06
Detroit Pistons,62.3,2005-06
Golden State Warriors,60.400000000000006,2005-06
Houston Rockets,59.0,2005-06
Indiana Pacers,57.8,2005-06
Los Angeles Clippers,68.3,2005-06
Los Angeles Lakers,61.3,2005-06
Memphis Grizzlies,55.5,2005-06
Miami Heat,59.9,2005-06
Milwaukee Bucks,63.8,2005-06
Minnesota Timberwolves,65.8,2005-06
New Jersey Nets,59.4,2005-06
New Orleans/Oklahoma City Hornets,67.60000000000001,2005-06
New York Knicks,64.9,2005-06
Orlando Magic,65.5,2005-06
Philadelphia 76ers,67.2,2005-06
Phoenix Suns,61.800000000000004,2005-06
Portland Trail Blazers,63.7,2005-06
Sacramento Kings,62.099999999999994,2005-06
San Antonio Spurs,60.699999999999996,2005-06
Seattle SuperSonics,61.9,2005-06
Toronto Raptors,61.2,2005-06
Utah Jazz,64.4,2005-06
Washington Wizards,64.2,2005-06
Atlanta Hawks,65.0,2006-07
Boston Celtics,63.1,2006-07
Charlotte Bobcats,65.4,2006-07
Chicago Bulls,66.2,2006-07
Cleveland Cavaliers,64.1,2006-07
Dallas Mavericks,61.49999999999999,2006-07
Denver Nuggets,65.4,2006-07
Detroit Pistons,63.199999999999996,2006-07
Golden State Warriors,62.0,2006-07
Houston Rockets,56.49999999999999,2006-07
Indiana Pacers,63.1,2006-07
Los Angeles Clippers,66.0,2006-07
Los Angeles Lakers,60.3,2006-07
Memphis Grizzlies,61.99999999999999,2006-07
Miami Heat,57.900000000000006,2006-07
Milwaukee Bucks,63.900000000000006,2006-07
Minnesota Timberwolves,66.0,2006-07
New Jersey Nets,57.4,2006-07
New Orleans/Oklahoma City Hornets,66.10000000000001,2006-07
New York Knicks,60.8,2006-07
Orlando Magic,62.599999999999994,2006-07
Philadelphia 76ers,68.1,2006-07
Phoenix Suns,59.599999999999994,2006-07
Portland Trail Blazers,63.0,2006-07
Sacramento Kings,61.2,2006-07
San Antonio Spurs,58.2,2006-07
Seattle SuperSonics,63.099999999999994,2006-07
Toronto Raptors,61.9,2006-07
Utah Jazz,66.0,2006-07
Washington Wizards,63.5,2006-07
Atlanta Hawks,66.80000000000001,2007-08
Boston Celtics,57.6,2007-08
Charlotte Bobcats,62.300000000000004,2007-08
Chicago Bulls,67.8,2007-08
Cleveland Cavaliers,62.900000000000006,2007-08
Dallas Mavericks,62.4,2007-08
Denver Nuggets,66.19999999999999,2007-08
Detroit Pistons,63.7,2007-08
Golden State Warriors,63.699999999999996,2007-08
Houston Rockets,60.900000000000006,2007-08
Indiana Pacers,60.699999999999996,2007-08
Los Angeles Clippers,65.39999999999999,2007-08
Los Angeles Lakers,61.699999999999996,2007-08
Memphis Grizzlies,60.5,2007-08
Miami Heat,60.599999999999994,2007-08
Milwaukee Bucks,66.3,2007-08
Minnesota Timberwolves,67.69999999999999,2007-08
New Jersey Nets,61.300000000000004,2007-08
New Orleans Hornets,63.10000000000001,2007-08
New York Knicks,64.7,2007-08
Orlando Magic,53.3,2007-08
Philadelphia 76ers,69.5,2007-08
Phoenix Suns,61.2,2007-08
Portland Trail Blazers,62.4,2007-08
Sacramento Kings,63.3,2007-08
San Antonio Spurs,58.699999999999996,2007-08
Seattle SuperSonics,74.3,2007-08
Toronto Raptors,64.2,2007-08
Utah Jazz,67.0,2007-08
Washington Wizards,61.89999999999999,2007-08
Atlanta Hawks,58.800000000000004,2008-09
Boston Celtics,60.7,2008-09
Charlotte Bobcats,60.5,2008-09
Chicago Bulls,67.7,2008-09
Cleveland Cavaliers,58.300000000000004,2008-09
Dallas Mavericks,62.699999999999996,2008-09
Denver Nuggets,61.400000000000006,2008-09
Detroit Pistons,66.8,2008-09
Golden State Warriors,68.0,2008-09
Houston Rockets,59.39999999999999,2008-09
Indiana Pacers,65.3,2008-09
Los Angeles Clippers,63.2,2008-09
Los Angeles Lakers,66.6,2008-09
Memphis Grizzlies,63.5,2008-09
Miami Heat,61.1,2008-09
Milwaukee Bucks,65.2,2008-09
Minnesota Timberwolves,63.7,2008-09
New Jersey Nets,58.5,2008-09
New Orleans Hornets,58.99999999999999,2008-09
New York Knicks,58.6,2008-09
Oklahoma City Thunder,70.30000000000001,2008-09
Orlando Magic,52.0,2008-09
Philadelphia 76ers,66.60000000000001,2008-09
Phoenix Suns,63.99999999999999,2008-09
Portland Trail Blazers,60.2,2008-09
Sacramento Kings,62.1,2008-09
San Antonio Spurs,59.900000000000006,2008-09
Toronto Raptors,65.7,2008-09
Utah Jazz,67.1,2008-09
Washington Wizards,66.60000000000001,2008-09
Atlanta Hawks,65.2,2009-10
Boston Celtics,59.3,2009-10
Charlotte Bobcats,60.7,2009-10
Chicago Bulls,70.2,2009-10
Cleveland Cavaliers,58.60000000000001,2009-10
Dallas Mavericks,64.10000000000001,2009-10
Denver Nuggets,62.900000000000006,2009-10
Detroit Pistons,66.0,2009-10
Golden State Warriors,65.9,2009-10
Houston Rockets,62.00000000000001,2009-10
Indiana Pacers,60.1,2009-10
Los Angeles Clippers,62.7,2009-10
Los Angeles Lakers,64.8,2009-10
Memphis Grizzlies,71.39999999999999,2009-10
Miami Heat,62.1,2009-10
Milwaukee Bucks,63.199999999999996,2009-10
Minnesota Timberwolves,70.0,2009-10
New Jersey Nets,65.4,2009-10
New Orleans Hornets,64.2,2009-10
New York Knicks,57.7,2009-10
Oklahoma City Thunder,65.8,2009-10
Orlando Magic,50.7,2009-10
Philadelphia 76ers,65.0,2009-10
Phoenix Suns,61.199999999999996,2009-10
Portland Trail Blazers,61.800000000000004,2009-10
Sacramento Kings,67.19999999999999,2009-10
San Antonio Spurs,62.300000000000004,2009-10
Toronto Raptors,63.900000000000006,2009-10
Utah Jazz,65.5,2009-10
Washington Wizards,66.8,2009-10
Atlanta Hawks,61.00000000000001,2010-11
Boston Celtics,62.199999999999996,2010-11
Charlotte Bobcats,62.89999999999999,2010-11
Chicago Bulls,63.0,2010-11
Cleveland Cavaliers,62.89999999999999,2010-11
Dallas Mavericks,57.199999999999996,2010-11
Denver Nuggets,59.8,2010-11
Detroit Pistons,65.8,2010-11
Golden State Warriors,64.60000000000001,2010-11
Houston Rockets,62.599999999999994,2010-11
Indiana Pacers,62.599999999999994,2010-11
Los Angeles Clippers,61.900000000000006,2010-11
Los Angeles Lakers,64.30000000000001,2010-11
Memphis Grizzlies,71.60000000000001,2010-11
Miami Heat,58.8,2010-11
Milwaukee Bucks,62.599999999999994,2010-11
Minnesota Timberwolves,66.4,2010-11
New Jersey Nets,64.7,2010-11
New Orleans Hornets,63.2,2010-11
New York Knicks,58.300000000000004,2010-11
Oklahoma City Thunder,63.49999999999999,2010-11
Orlando Magic,52.6,2010-11
Philadelphia 76ers,67.39999999999999,2010-11
Phoenix Suns,60.9,2010-11
Portland Trail Blazers,62.2,2010-11
Sacramento Kings,69.5,2010-11
San Antonio Spurs,59.699999999999996,2010-11
Toronto Raptors,69.10000000000001,2010-11
Utah Jazz,65.10000000000001,2010-11
Washington Wizards,69.6,2010-11
Atlanta Hawks,60.8,2011-12
Boston Celtics,62.099999999999994,2011-12
Charlotte Bobcats,66.7,2011-12
Chicago Bulls,65.9,2011-12
Cleveland Cavaliers,61.900000000000006,2011-12
Dallas Mavericks,59.8,2011-12
Denver Nuggets,62.00000000000001,2011-12
Detroit Pistons,65.39999999999999,2011-12
Golden State Warriors,62.0,2011-12
Houston Rockets,63.8,2011-12
Indiana Pacers,65.30000000000001,2011-12
Los Angeles Clippers,59.5,2011-12
Los Angeles Lakers,63.8,2011-12
Memphis Grizzlies,69.3,2011-12
Miami Heat,63.4,2011-12
Milwaukee Bucks,66.39999999999999,2011-12
Minnesota Timberwolves,60.699999999999996,2011-12
New Jersey Nets,58.199999999999996,2011-12
New Orleans Hornets,65.5,2011-12
New York Knicks,57.5,2011-12
Oklahoma City Thunder,59.2,2011-12
Orlando Magic,51.2,2011-12
Philadelphia 76ers,69.0,2011-12
Phoenix Suns,62.9,2011-12
Portland Trail Blazers,61.199999999999996,2011-12
Sacramento Kings,66.8,2011-12
San Antonio Spurs,61.5,2011-12
Toronto Raptors,61.8,2011-12
Utah Jazz,71.0,2011-12
Washington Wizards,66.7,2011-12
Atlanta Hawks,57.8,2012-13
Boston Celtics,62.5,2012-13
Brooklyn Nets,58.3,2012-13
Charlotte Bobcats,63.99999999999999,2012-13
Chicago Bulls,66.3,2012-13
Cleveland Cavaliers,64.9,2012-13
Dallas Mavericks,64.1,2012-13
Denver Nuggets,66.7,2012-13
Detroit Pistons,63.4,2012-13
Golden State Warriors,63.50000000000001,2012-13
Houston Rockets,53.800000000000004,2012-13
Indiana Pacers,60.89999999999999,2012-13
Los Angeles Clippers,59.199999999999996,2012-13
Los Angeles Lakers,56.4,2012-13
Memphis Grizzlies,68.0,2012-13
Miami Heat,55.300000000000004,2012-13
Milwaukee Bucks,67.4,2012-13
Minnesota Timberwolves,63.7,2012-13
New Orleans Hornets,62.400000000000006,2012-13
New York Knicks,52.699999999999996,2012-13
Oklahoma City Thunder,59.9,2012-13
Orlando Magic,65.5,2012-13
Philadelphia 76ers,66.6,2012-13
Phoenix Suns,66.7,2012-13
Portland Trail Blazers,58.7,2012-13
Sacramento Kings,63.7,2012-13
San Antonio Spurs,59.900000000000006,2012-13
Toronto Raptors,61.2,2012-13
Utah Jazz,64.9,2012-13
Washington Wizards,63.39999999999999,2012-13
Atlanta Hawks,55.8,2013-14
Boston Celtics,62.800000000000004,2013-14
Brooklyn Nets,54.50000000000001,2013-14
Charlotte Bobcats,64.19999999999999,2013-14
Chicago Bulls,62.400000000000006,2013-14
Cleveland Cavaliers,64.8,2013-14
Dallas Mavericks,60.699999999999996,2013-14
Denver Nuggets,62.00000000000001,2013-14
Detroit Pistons,67.60000000000001,2013-14
Golden State Warriors,60.60000000000001,2013-14
Houston Rockets,53.9,2013-14
Indiana Pacers,61.400000000000006,2013-14
Los Angeles Clippers,58.5,2013-14
Los Angeles Lakers,60.3,2013-14
Memphis Grizzlies,68.0,2013-14
Miami Heat,54.2,2013-14
Milwaukee Bucks,63.300000000000004,2013-14
Minnesota Timberwolves,66.1,2013-14
New Orleans Pelicans,66.6,2013-14
New York Knicks,57.300000000000004,2013-14
Oklahoma City Thunder,60.300000000000004,2013-14
Orlando Magic,63.2,2013-14
Philadelphia 76ers,64.7,2013-14
Phoenix Suns,58.4,2013-14
Portland Trail Blazers,61.7,2013-14
Sacramento Kings,64.5,2013-14
San Antonio Spurs,62.1,2013-14
Toronto Raptors,58.50000000000001,2013-14
Utah Jazz,61.89999999999999,2013-14
Washington Wizards,63.60000000000001,2013-14
Atlanta Hawks,55.5,2014-15
Boston Celtics,63.300000000000004,2014-15
Brooklyn Nets,63.1,2014-15
Charlotte Hornets,65.4,2014-15
Chicago Bulls,60.60000000000001,2014-15
Cleveland Cavaliers,54.7,2014-15
Dallas Mavericks,60.4,2014-15
Denver Nuggets,62.5,2014-15
Detroit Pistons,60.9,2014-15
Golden State Warriors,60.0,2014-15
Houston Rockets,50.599999999999994,2014-15
Indiana Pacers,62.0,2014-15
Los Angeles Clippers,56.4,2014-15
Los Angeles Lakers,66.69999999999999,2014-15
Memphis Grizzlies,67.3,2014-15
Miami Heat,57.0,2014-15
Milwaukee Bucks,63.7,2014-15
Minnesota Timberwolves,68.3,2014-15
New Orleans Pelicans,63.60000000000001,2014-15
New York Knicks,62.3,2014-15
Oklahoma City Thunder,64.1,2014-15
Orlando Magic,63.3,2014-15
Philadelphia 76ers,56.3,2014-15
Phoenix Suns,60.8,2014-15
Portland Trail Blazers,58.8,2014-15
Sacramento Kings,64.2,2014-15
San Antonio Spurs,61.099999999999994,2014-15
Toronto Raptors,58.199999999999996,2014-15
Utah Jazz,57.5,2014-15
Washington Wizards,66.0,2014-15
Atlanta Hawks,56.00000000000001,2015-16
Boston Celtics,63.1,2015-16
Brooklyn Nets,66.0,2015-16
Charlotte Hornets,55.00000000000001,2015-16
Chicago Bulls,66.0,2015-16
Cleveland Cavaliers,54.4,2015-16
Dallas Mavericks,55.49999999999999,2015-16
Denver Nuggets,61.7,2015-16
Detroit Pistons,60.2,2015-16
Golden State Warriors,55.699999999999996,2015-16
Houston Rockets,52.6,2015-16
Indiana Pacers,62.2,2015-16
LA Clippers,55.7,2015-16
Los Angeles Lakers,60.199999999999996,2015-16
Memphis Grizzlies,65.1,2015-16
Miami Heat,63.7,2015-16
Milwaukee Bucks,66.60000000000001,2015-16
Minnesota Timberwolves,64.9,2015-16
New Orleans Pelicans,62.10000000000001,2015-16
New York Knicks,62.5,2015-16
Oklahoma City Thunder,62.7,2015-16
Orlando Magic,64.6,2015-16
Philadelphia 76ers,56.5,2015-16
Phoenix Suns,59.8,2015-16
Portland Trail Blazers,57.400000000000006,2015-16
Sacramento Kings,64.0,2015-16
San Antonio Spurs,64.4,2015-16
Toronto Raptors,57.9,2015-16
Utah Jazz,56.50000000000001,2015-16
Washington Wizards,61.599999999999994,2015-16
Atlanta Hawks,58.300000000000004,2016-17
Boston Celtics,51.699999999999996,2016-17
Brooklyn Nets,53.6,2016-17
Charlotte Hornets,56.800000000000004,2016-17
Chicago Bulls,64.8,2016-17
Cleveland Cavaliers,51.00000000000001,2016-17
Dallas Mavericks,52.099999999999994,2016-17
Denver Nuggets,58.900000000000006,2016-17
Detroit Pistons,65.4,2016-17
Golden State Warriors,55.89999999999999,2016-17
Houston Rockets,46.900000000000006,2016-17
Indiana Pacers,61.5,2016-17
LA Clippers,55.800000000000004,2016-17
Los Angeles Lakers,61.7,2016-17
Memphis Grizzlies,57.099999999999994,2016-17
Miami Heat,58.8,2016-17
Milwaukee Bucks,58.2,2016-17
Minnesota Timberwolves,63.400000000000006,2016-17
New Orleans Pelicans,60.2,2016-17
New York Knicks,63.8,2016-17
Oklahoma City Thunder,61.60000000000001,2016-17
Orlando Magic,60.9,2016-17
Philadelphia 76ers,55.5,2016-17
Phoenix Suns,65.9,2016-17
Portland Trail Blazers,58.39999999999999,2016-17
Sacramento Kings,58.199999999999996,2016-17
San Antonio Spurs,60.2,2016-17
Toronto Raptors,60.10000000000001,2016-17
Utah Jazz,53.5,2016-17
Washington Wizards,62.2,2016-17
Atlanta Hawks,54.5,2017-18
Boston Celtics,54.699999999999996,2017-18
Brooklyn Nets,51.099999999999994,2017-18
Charlotte Hornets,59.5,2017-18
Chicago Bulls,57.699999999999996,2017-18
Cleveland Cavaliers,52.699999999999996,2017-18
Dallas Mavericks,53.10000000000001,2017-18
Denver Nuggets,55.699999999999996,2017-18
Detroit Pistons,58.00000000000001,2017-18
Golden State Warriors,56.199999999999996,2017-18
Houston Rockets,41.900000000000006,2017-18
Indiana Pacers,61.900000000000006,2017-18
LA Clippers,58.60000000000001,2017-18
Los Angeles Lakers,59.300000000000004,2017-18
Memphis Grizzlies,56.599999999999994,2017-18
Miami Heat,54.699999999999996,2017-18
Milwaukee Bucks,58.3,2017-18
Minnesota Timberwolves,63.599999999999994,2017-18
New Orleans Pelicans,60.099999999999994,2017-18
New York Knicks,64.4,2017-18
Oklahoma City Thunder,57.699999999999996,2017-18
Orlando Magic,56.60000000000001,2017-18
Philadelphia 76ers,56.8,2017-18
Phoenix Suns,59.199999999999996,2017-18
Portland Trail Blazers,58.9,2017-18
Sacramento Kings,62.099999999999994,2017-18
San Antonio Spurs,61.300000000000004,2017-18
Toronto Raptors,54.400000000000006,2017-18
Utah Jazz,53.300000000000004,2017-18
Washington Wizards,59.099999999999994,2017-18
Atlanta Hawks,54.8,2018-19
Boston Celtics,56.0,2018-19
Brooklyn Nets,53.5,2018-19
Charlotte Hornets,55.9,2018-19
Chicago Bulls,62.00000000000001,2018-19
Cleveland Cavaliers,58.49999999999999,2018-19
Dallas Mavericks,50.300000000000004,2018-19
Denver Nuggets,58.6,2018-19
Detroit Pistons,53.5,2018-19
Golden State Warriors,55.4,2018-19
Houston Rockets,42.00000000000001,2018-19
Indiana Pacers,61.6,2018-19
LA Clippers,61.7,2018-19
Los Angeles Lakers,59.5,2018-19
Memphis Grizzlies,55.50000000000001,2018-19
Miami Heat,55.6,2018-19
Milwaukee Bucks,52.89999999999999,2018-19
Minnesota Timberwolves,62.599999999999994,2018-19
New Orleans Pelicans,62.300000000000004,2018-19
New York Knicks,58.8,2018-19
Oklahoma City Thunder,61.4,2018-19
Orlando Magic,56.99999999999999,2018-19
Philadelphia 76ers,58.0,2018-19
Phoenix Suns,58.10000000000001,2018-19
Portland Trail Blazers,59.89999999999999,2018-19
Sacramento Kings,63.199999999999996,2018-19
San Antonio Spurs,63.10000000000001,2018-19
Toronto Raptors,55.3,2018-19
Utah Jazz,52.400000000000006,2018-19
Washington Wizards,56.8,2018-19
Atlanta Hawks,54.49999999999999,2019-20
Boston Celtics,55.099999999999994,2019-20
Brooklyn Nets,52.199999999999996,2019-20
Charlotte Hornets,51.60000000000001,2019-20
Chicago Bulls,53.49999999999999,2019-20
Cleveland Cavaliers,56.10000000000001,2019-20
Dallas Mavericks,49.0,2019-20
Denver Nuggets,58.300000000000004,2019-20
Detroit Pistons,53.0,2019-20
Golden State Warriors,56.900000000000006,2019-20
Houston Rockets,45.10000000000001,2019-20
Indiana Pacers,60.5,2019-20
LA Clippers,55.7,2019-20
Los Angeles Lakers,56.699999999999996,2019-20
Memphis Grizzlies,59.400000000000006,2019-20
Miami Heat,49.00000000000001,2019-20
Milwaukee Bucks,52.00000000000001,2019-20
Minnesota Timberwolves,51.89999999999999,2019-20
New Orleans Pelicans,54.699999999999996,2019-20
New York Knicks,60.9,2019-20
Oklahoma City Thunder,55.3,2019-20
Orlando Magic,56.39999999999999,2019-20
Philadelphia 76ers,56.300000000000004,2019-20
Phoenix Suns,56.3,2019-20
Portland Trail Blazers,57.1,2019-20
Sacramento Kings,53.50000000000001,2019-20
San Antonio Spurs,60.900000000000006,2019-20
Toronto Raptors,50.900000000000006,2019-20
Utah Jazz,49.89999999999999,2019-20
Washington Wizards,58.300000000000004,2019-20
Atlanta Hawks,53.800000000000004,2020-21
Boston Celtics,52.50000000000001,2020-21
Brooklyn Nets,51.199999999999996,2020-21
Charlotte Hornets,50.8,2020-21
Chicago Bulls,54.599999999999994,2020-21
Cleveland Cavaliers,56.099999999999994,2020-21
Dallas Mavericks,49.199999999999996,2020-21
Denver Nuggets,55.0,2020-21
Detroit Pistons,52.699999999999996,2020-21
Golden State Warriors,49.5,2020-21
Houston Rockets,47.9,2020-21
Indiana Pacers,57.2,2020-21
LA Clippers,52.0,2020-21
Los Angeles Lakers,54.89999999999999,2020-21
Memphis Grizzlies,60.4,2020-21
Miami Heat,47.5,2020-21
Milwaukee Bucks,54.699999999999996,2020-21
Minnesota Timberwolves,53.300000000000004,2020-21
New Orleans Pelicans,58.699999999999996,2020-21
New York Knicks,56.5,2020-21
Oklahoma City Thunder,52.9,2020-21
Orlando Magic,57.400000000000006,2020-21
Philadelphia 76ers,56.800000000000004,2020-21
Phoenix Suns,53.699999999999996,2020-21
Portland Trail Blazers,50.3,2020-21
Sacramento Kings,55.3,2020-21
San Antonio Spurs,62.1,2020-21
Toronto Raptors,49.400000000000006,2020-21
Utah Jazz,45.099999999999994,2020-21
Washington Wizards,61.900000000000006,2020-21
Atlanta Hawks,53.9,2021-22
Boston Celtics,50.300000000000004,2021-22
Brooklyn Nets,56.7,2021-22
Charlotte Hornets,53.2,2021-22
Chicago Bulls,58.10000000000001,2021-22
Cleveland Cavaliers,51.8,2021-22
Dallas Mavericks,47.699999999999996,2021-22
Denver Nuggets,50.4,2021-22
Detroit Pistons,53.99999999999999,2021-22
Golden State Warriors,47.00000000000001,2021-22
Houston Rockets,47.7,2021-22
Indiana Pacers,54.1,2021-22
LA Clippers,53.2,2021-22
Los Angeles Lakers,54.3,2021-22
Memphis Grizzlies,61.7,2021-22
Miami Heat,49.0,2021-22
Milwaukee Bucks,51.00000000000001,2021-22
Minnesota Timberwolves,49.7,2021-22
New Orleans Pelicans,55.9,2021-22
New York Knicks,49.300000000000004,2021-22
Oklahoma City Thunder,51.699999999999996,2021-22
Orlando Magic,51.4,2021-22
Philadelphia 76ers,52.7,2021-22
Phoenix Suns,58.199999999999996,2021-22
Portland Trail Blazers,50.3,2021-22
Sacramento Kings,54.89999999999999,2021-22
San Antonio Spurs,60.7,2021-22
Toronto Raptors,57.099999999999994,2021-22
Utah Jazz,45.900000000000006,2021-22
Washington Wizards,55.4,2021-22
Atlanta Hawks,61.900000000000006,2022-23
Boston Celtics,46.199999999999996,2022-23
Brooklyn Nets,51.3,2022-23
Charlotte Hornets,57.900000000000006,2022-23
Chicago Bulls,57.9,2022-23
Cleveland Cavaliers,53.6,2022-23
Dallas Mavericks,43.3,2022-23
Denver Nuggets,55.2,2022-23
Detroit Pistons,54.699999999999996,2022-23
Golden State Warriors,47.0,2022-23
Houston Rockets,57.00000000000001,2022-23
Indiana Pacers,52.599999999999994,2022-23
LA Clippers,52.8,2022-23
Los Angeles Lakers,57.8,2022-23
Memphis Grizzlies,57.89999999999999,2022-23
Miami Heat,50.5,2022-23
Milwaukee Bucks,50.10000000000001,2022-23
Minnesota Timberwolves,54.10000000000001,2022-23
New Orleans Pelicans,57.49999999999999,2022-23
New York Knicks,53.7,2022-23
Oklahoma City Thunder,58.49999999999999,2022-23
Orlando Magic,55.199999999999996,2022-23
Philadelphia 76ers,51.199999999999996,2022-23
Phoenix Suns,57.49999999999999,2022-23
Portland Trail Blazers,50.10000000000001,2022-23
Sacramento Kings,50.900000000000006,2022-23
San Antonio Spurs,60.39999999999999,2022-23
Toronto Raptors,59.3,2022-23
Utah Jazz,52.0,2022-23
Washington Wizards,55.2,2022-23
Atlanta Hawks,54.8,2023-24
Boston Celtics,47.7,2023-24
Brooklyn Nets,52.39999999999999,2023-24
Charlotte Hornets,53.0,2023-24
Chicago Bulls,57.4,2023-24
Cleveland Cavaliers,50.400000000000006,2023-24
Dallas Mavericks,50.2,2023-24
Denver Nuggets,57.599999999999994,2023-24
Detroit Pistons,56.5,2023-24
Golden State Warriors,52.699999999999996,2023-24
Houston Rockets,54.9,2023-24
Indiana Pacers,57.400000000000006,2023-24
LA Clippers,53.5,2023-24
Los Angeles Lakers,56.1,2023-24
Memphis Grizzlies,50.400000000000006,2023-24
Miami Heat,51.89999999999999,2023-24
Milwaukee Bucks,50.4,2023-24
Minnesota Timberwolves,52.3,2023-24
New Orleans Pelicans,54.800000000000004,2023-24
New York Knicks,52.900000000000006,2023-24
Oklahoma City Thunder,55.099999999999994,2023-24
Orlando Magic,53.60000000000001,2023-24
Philadelphia 76ers,56.10000000000001,2023-24
Phoenix Suns,53.49999999999999,2023-24
Portland Trail Blazers,56.5,2023-24
Sacramento Kings,51.60000000000001,2023-24
San Antonio Spurs,54.300000000000004,2023-24
Toronto Raptors,56.6,2023-24
Utah Jazz,53.400000000000006,2023-24
Washington Wizards,55.900000000000006,2023-24
